Time,X,Y,Velocity
0.01,0.1,20,0.1
0.02,0.2,20,0.2
0.03,0.3,20,0.3
0.04,0.4,20,0.4
0.05,0.5,20,0.5
0.06,0.6,20,0.6
0.07,0.7,20,0.7
0.08,0.8,20,0.8
0.09,0.9,20,0.9
0.1,1,20,1
0.11,1.1,20,1.1
0.12,1.2,20,1.2
0.13,1.3,20,1.3
0.14,1.4,20,1.4
0.15,1.5,20,1.5
0.16,1.6,20,1.6
0.17,1.7,20,1.7
0.18,1.8,20,1.8
0.19,1.9,20,1.9
0.2,2,20,2
0.21,2.1,20,2.1
0.22,2.2,20,2.2
0.23,2.3,20,2.3
0.24,2.4,20,2.4
0.25,2.5,20,2.5
0.26,2.6,20,2.6
0.27,2.7,20,2.7
0.28,2.8,20,2.8
0.29,2.9,20,2.9
0.3,3,20,3
0.31,3.1,20,3.1
0.32,3.2,20,3.2
0.33,3.3,20,3.3
0.34,3.4,20,3.4
0.35,3.5,20,3.5
0.36,3.6,20,3.6
0.37,3.7,20,3.7
0.38,3.8,20,3.8
0.39,3.9,20,3.9
0.4,4,20,4
0.41,4.1,20,4.1
0.42,4.2,20,4.2
0.43,4.3,20,4.3
0.44,4.4,20,4.4
0.45,4.5,20,4.5
0.46,4.6,20,4.6
0.47,4.7,20,4.7
0.48,4.8,20,4.8
0.49,4.9,20,4.9
0.5,5,20,5
0.51,5.1,20,5.1
0.52,5.2,20,5.2
0.53,5.3,20,5.3
0.54,5.4,20,5.4
0.55,5.5,20,5.5
0.56,5.6,20,5.6
0.57,5.7,20,5.7
0.58,5.8,20,5.8
0.59,5.9,20,5.9
0.6,6,20,6
0.61,6.1,20,6.1
0.62,6.2,20,6.2
0.63,6.3,20,6.3
0.64,6.4,20,6.4
0.65,6.5,20,6.5
0.66,6.6,20,6.6
0.67,6.7,20,6.7
0.68,6.8,20,6.8
0.69,6.9,20,6.9
0.7,7,20,7
0.71,7.1,20,7.1
0.72,7.2,20,7.2
0.73,7.3,20,7.3
0.74,7.4,20,7.4
0.75,7.5,20,7.5
0.76,7.6,20,7.6
0.77,7.7,20,7.7
0.78,7.8,20,7.8
0.79,7.9,20,7.9
0.8,8,20,8
0.81,8.1,20,8.1
0.82,8.2,20,8.2
0.83,8.3,20,8.3
0.84,8.4,20,8.4
0.85,8.5,20,8.5
0.86,8.6,20,8.6
0.87,8.7,20,8.7
0.88,8.8,20,8.8
0.89,8.9,20,8.9
0.9,9,20,9
0.91,9.1,20,9.1
0.92,9.2,20,9.2
0.93,9.3,20,9.3
0.94,9.4,20,9.4
0.95,9.5,20,9.5
0.96,9.6,20,9.6
0.97,9.7,20,9.7
0.98,9.8,20,9.8
0.99,9.9,20,9.9
1,10,20,10
1.01,10.1,20,10
1.02,10.2,20,10
1.03,10.3,20,10
1.04,10.4,20,10
1.05,10.5,20,10
1.06,10.6,20,10
1.07,10.7,20,10
1.08,10.8,20,10
1.09,10.9,20,10
1.1,11,20,10
1.11,11.1,20,10
1.12,11.2,20,10
1.13,11.3,20,10
1.14,11.4,20,10
1.15,11.5,20,10
1.16,11.6,20,10
1.17,11.7,20,10
1.18,11.8,20,10
1.19,11.9,20,10
1.2,12,20,10
1.21,12.1,20,10
1.22,12.2,20,10
1.23,12.3,20,10
1.24,12.4,20,10
1.25,12.5,20,10
1.26,12.6,20,10
1.27,12.7,20,10
1.28,12.8,20,10
1.29,12.9,20,10
1.3,13,20,10
1.31,13.1,20,10
1.32,13.2,20,10
1.33,13.3,20,10
1.34,13.4,20,10
1.35,13.5,20,10
1.36,13.6,20,10
1.37,13.7,20,10
1.38,13.8,20,10
1.39,13.9,20,10
1.4,14,20,10
1.41,14.1,20,10
1.42,14.2,20,10
1.43,14.3,20,10
1.44,14.4,20,10
1.45,14.5,20,10
1.46,14.6,20,10
1.47,14.7,20,10
1.48,14.8,20,10
1.49,14.9,20,10
1.5,15,20,10
1.51,15.1,20,10
1.52,15.2,20,10
1.53,15.3,20,10
1.54,15.4,20,10
1.55,15.5,20,10
1.56,15.6,20,10
1.57,15.7,20,10
1.58,15.8,20,10
1.59,15.9,20,10
1.6,16,20,10
1.61,16.1,20,10
1.62,16.2,20,10
1.63,16.3,20,10
1.64,16.4,20,10
1.65,16.5,20,10
1.66,16.6,20,10
1.67,16.7,20,10
1.68,16.8,20,10
1.69,16.9,20,10
1.7,17,20,10
1.71,17.1,20,10
1.72,17.2,20,10
1.73,17.3,20,10
1.74,17.4,20,10
1.75,17.5,20,10
1.76,17.6,20,10
1.77,17.7,20,10
1.78,17.8,20,10
1.79,17.9,20,10
1.8,18,20,10
1.81,18.1,20,10
1.82,18.2,20,10
1.83,18.3,20,10
1.84,18.4,20,10
1.85,18.5,20,10
1.86,18.6,20,10
1.87,18.7,20,10
1.88,18.8,20,10
1.89,18.9,20,10
1.9,19,20,10
1.91,19.1,20,10
1.92,19.2,20,10
1.93,19.3,20,10
1.94,19.4,20,10
1.95,19.5,20,10
1.96,19.6,20,10
1.97,19.7,20,10
1.98,19.8,20,10
1.99,19.9,20,10
2,20,20,10
2.01,20.1,20,10
2.02,20.2,20,10
2.03,20.3,20,10
2.04,20.4,20,10
2.05,20.5,20,10
2.06,20.6,20,10
2.07,20.7,20,10
2.08,20.8,20,10
2.09,20.9,20,10
2.1,21,20,10
2.11,21.1,20,10
2.12,21.2,20,10
2.13,21.3,20,10
2.14,21.4,20,10
2.15,21.5,20,10
2.16,21.6,20,10
2.17,21.7,20,10
2.18,21.8,20,10
2.19,21.9,20,10
2.2,22,20,10
2.21,22.1,20,10
2.22,22.2,20,10
2.23,22.3,20,10
2.24,22.4,20,10
2.25,22.5,20,10
2.26,22.6,20,10
2.27,22.7,20,10
2.28,22.8,20,10
2.29,22.9,20,10
2.3,23,20,10
2.31,23.1,20,10
2.32,23.2,20,10
2.33,23.3,20,10
2.34,23.4,20,10
2.35,23.5,20,10
2.36,23.6,20,10
2.37,23.7,20,10
2.38,23.8,20,10
2.39,23.9,20,10
2.4,24,20,10
2.41,24.1,20,10
2.42,24.2,20,10
2.43,24.3,20,10
2.44,24.4,20,10
2.45,24.5,20,10
2.46,24.6,20,10
2.47,24.7,20,10
2.48,24.8,20,10
2.49,24.9,20,10
2.5,25,20,10
2.51,25.1,20,10
2.52,25.2,20,10
2.53,25.3,20,10
2.54,25.4,20,10
2.55,25.5,20,10
2.56,25.6,20,10
2.57,25.7,20,10
2.58,25.8,20,10
2.59,25.9,20,10
2.6,26,20,10
2.61,26.1,20,10
2.62,26.2,20,10
2.63,26.3,20,10
2.64,26.4,20,10
2.65,26.5,20,10
2.66,26.6,20,10
2.67,26.7,20,10
2.68,26.8,20,10
2.69,26.9,20,10
2.7,27,20,10
2.71,27.1,20,10
2.72,27.2,20,10
2.73,27.3,20,10
2.74,27.4,20,10
2.75,27.5,20,10
2.76,27.6,20,10
2.77,27.7,20,10
2.78,27.8,20,10
2.79,27.9,20,10
2.8,28,20,10
2.81,28.1,20,10
2.82,28.2,20,10
2.83,28.3,20,10
2.84,28.4,20,10
2.85,28.5,20,10
2.86,28.6,20,10
2.87,28.7,20,10
2.88,28.8,20,10
2.89,28.9,20,10
2.9,29,20,10
2.91,29.1,20,10
2.92,29.2,20,10
2.93,29.3,20,10
2.94,29.4,20,10
2.95,29.5,20,10
2.96,29.6,20,10
2.97,29.7,20,10
2.98,29.8,20,10
2.99,29.9,20,10
3,30,20,10
3.01,30.1,20,10
3.02,30.2,20,10
3.03,30.3,20,10
3.04,30.4,20,10
3.05,30.5,20,10
3.06,30.6,20,10
3.07,30.7,20,10
3.08,30.8,20,10
3.09,30.9,20,10
3.1,31,20,10
3.11,31.1,20,10
3.12,31.2,20,10
3.13,31.3,20,10
3.14,31.4,20,10
3.15,31.5,20,10
3.16,31.6,20,10
3.17,31.7,20,10
3.18,31.8,20,10
3.19,31.9,20,10
3.2,32,20,10
3.21,32.1,20,10
3.22,32.2,20,10
3.23,32.3,20,10
3.24,32.4,20,10
3.25,32.5,20,10
3.26,32.6,20,10
3.27,32.7,20,10
3.28,32.8,20,10
3.29,32.9,20,10
3.3,33,20,10
3.31,33.1,20,10
3.32,33.2,20,10
3.33,33.3,20,10
3.34,33.4,20,10
3.35,33.5,20,10
3.36,33.6,20,10
3.37,33.7,20,10
3.38,33.8,20,10
3.39,33.9,20,10
3.4,34,20,10
3.41,34.1,20,10
3.42,34.2,20,10
3.43,34.3,20,10
3.44,34.4,20,10
3.45,34.5,20,10
3.46,34.6,20,10
3.47,34.7,20,10
3.48,34.8,20,10
3.49,34.9,20,10
3.5,35,20,10
3.51,35.1,20,10
3.52,35.2,20,10
3.53,35.3,20,10
3.54,35.4,20,10
3.55,35.5,20,10
3.56,35.6,20,10
3.57,35.7,20,10
3.58,35.8,20,10
3.59,35.9,20,10
3.6,36,20,10
3.61,36.1,20,10
3.62,36.2,20,10
3.63,36.3,20,10
3.64,36.4,20,10
3.65,36.5,20,10
3.66,36.6,20,10
3.67,36.7,20,10
3.68,36.8,20,10
3.69,36.9,20,10
3.7,37,20,10
3.71,37.1,20,10
3.72,37.2,20,10
3.73,37.3,20,10
3.74,37.4,20,10
3.75,37.5,20,10
3.76,37.6,20,10
3.77,37.7,20,10
3.78,37.8,20,10
3.79,37.9,20,10
3.8,38,20,10
3.81,38.1,20,10
3.82,38.2,20,10
3.83,38.3,20,10
3.84,38.4,20,10
3.85,38.5,20,10
3.86,38.6,20,10
3.87,38.7,20,10
3.88,38.8,20,10
3.89,38.9,20,10
3.9,39,20,10
3.91,39.1,20,10
3.92,39.2,20,10
3.93,39.3,20,10
3.94,39.4,20,10
3.95,39.5,20,10
3.96,39.6,20,10
3.97,39.7,20,10
3.98,39.8,20,10
3.99,39.9,20,10
4,40,20,10
4.01,40.1,20,10
4.02,40.2,20,10
4.03,40.3,20,10
4.04,40.4,20,10
4.05,40.5,20,10
4.06,40.6,20,10
4.07,40.7,20,10
4.08,40.8,20,10
4.09,40.9,20,10
4.1,41,20,10
4.11,41.1,20,10
4.12,41.2,20,10
4.13,41.3,20,10
4.14,41.4,20,10
4.15,41.5,20,10
4.16,41.6,20,10
4.17,41.7,20,10
4.18,41.8,20,10
4.19,41.9,20,10
4.2,42,20,10
4.21,42.1,20,10
4.22,42.2,20,10
4.23,42.3,20,10
4.24,42.4,20,10
4.25,42.5,20,10
4.26,42.6,20,10
4.27,42.7,20,10
4.28,42.8,20,10
4.29,42.9,20,10
4.3,43,20,10
4.31,43.1,20,10
4.32,43.2,20,10
4.33,43.3,20,10
4.34,43.4,20,10
4.35,43.5,20,10
4.36,43.6,20,10
4.37,43.7,20,10
4.38,43.8,20,10
4.39,43.9,20,10
4.4,44,20,10
4.41,44.1,20,10
4.42,44.2,20,10
4.43,44.3,20,10
4.44,44.4,20,10
4.45,44.5,20,10
4.46,44.6,20,10
4.47,44.7,20,10
4.48,44.8,20,10
4.49,44.9,20,10
4.5,45,20,10
4.51,45.1,20,10
4.52,45.2,20,10
4.53,45.3,20,10
4.54,45.4,20,10
4.55,45.5,20,10
4.56,45.6,20,10
4.57,45.7,20,10
4.58,45.8,20,10
4.59,45.9,20,10
4.6,46,20,10
4.61,46.1,20,10
4.62,46.2,20,10
4.63,46.3,20,10
4.64,46.4,20,10
4.65,46.5,20,10
4.66,46.6,20,10
4.67,46.7,20,10
4.68,46.8,20,10
4.69,46.9,20,10
4.7,47,20,10
4.71,47.1,20,10
4.72,47.2,20,10
4.73,47.3,20,10
4.74,47.4,20,10
4.75,47.5,20,10
4.76,47.6,20,10
4.77,47.7,20,10
4.78,47.8,20,10
4.79,47.9,20,10
4.8,48,20,10
4.81,48.1,20,10
4.82,48.2,20,10
4.83,48.3,20,10
4.84,48.4,20,10
4.85,48.5,20,10
4.86,48.6,20,10
4.87,48.7,20,10
4.88,48.8,20,10
4.89,48.9,20,10
4.9,49,20,10
4.91,49.1,20,10
4.92,49.2,20,10
4.93,49.3,20,10
4.94,49.4,20,10
4.95,49.5,20,10
4.96,49.6,20,10
4.97,49.7,20,10
4.98,49.8,20,10
4.99,49.9,20,10
5,50,20,10
5.01,50.1,20,10
5.02,50.2,20,10
5.03,50.3,20,10
5.04,50.4,20,10
5.05,50.5,20,10
5.06,50.6,20,10
5.07,50.7,20,10
5.08,50.8,20,10
5.09,50.9,20,10
5.1,51,20,10
5.11,51.1,20,10
5.12,51.2,20,10
5.13,51.3,20,10
5.14,51.4,20,10
5.15,51.5,20,10
5.16,51.6,20,10
5.17,51.7,20,10
5.18,51.8,20,10
5.19,51.9,20,10
5.2,52,20,10
5.21,52.1,20,10
5.22,52.2,20,10
5.23,52.3,20,10
5.24,52.4,20,10
5.25,52.5,20,10
5.26,52.6,20,10
5.27,52.7,20,10
5.28,52.8,20,10
5.29,52.9,20,10
5.3,53,20,10
5.31,53.1,20,10
5.32,53.2,20,10
5.33,53.3,20,10
5.34,53.4,20,10
5.35,53.5,20,10
5.36,53.6,20,10
5.37,53.7,20,10
5.38,53.8,20,10
5.39,53.9,20,10
5.4,54,20,10
5.41,54.1,20,10
5.42,54.2,20,10
5.43,54.3,20,10
5.44,54.4,20,10
5.45,54.5,20,10
5.46,54.6,20,10
5.47,54.7,20,10
5.48,54.8,20,10
5.49,54.9,20,10
5.5,55,20,10
5.51,55.1,20,10
5.52,55.2,20,10
5.53,55.3,20,10
5.54,55.4,20,10
5.55,55.5,20,10
5.56,55.6,20,10
5.57,55.7,20,10
5.58,55.8,20,10
5.59,55.9,20,10
5.6,56,20,10
5.61,56.1,20,10
5.62,56.2,20,10
5.63,56.3,20,10
5.64,56.4,20,10
5.65,56.5,20,10
5.66,56.6,20,10
5.67,56.7,20,10
5.68,56.8,20,10
5.69,56.9,20,10
5.7,57,20,10
5.71,57.1,20,10
5.72,57.2,20,10
5.73,57.3,20,10
5.74,57.4,20,10
5.75,57.5,20,10
5.76,57.6,20,10
5.77,57.7,20,10
5.78,57.8,20,10
5.79,57.9,20,10
5.8,58,20,10
5.81,58.1,20,10
5.82,58.2,20,10
5.83,58.3,20,10
5.84,58.4,20,10
5.85,58.5,20,10
5.86,58.6,20,10
5.87,58.7,20,10
5.88,58.8,20,10
5.89,58.9,20,10
5.9,59,20,10
5.91,59.1,20,10
5.92,59.2,20,10
5.93,59.3,20,10
5.94,59.4,20,10
5.95,59.5,20,10
5.96,59.6,20,10
5.97,59.7,20,10
5.98,59.8,20,10
5.99,59.9,20,10
6,60,20,10
6.01,60.1,20,10
6.02,60.2,20,10
6.03,60.3,20,10
6.04,60.4,20,10
6.05,60.5,20,10
6.06,60.6,20,10
6.07,60.7,20,10
6.08,60.8,20,10
6.09,60.9,20,10
6.1,61,20,10
6.11,61.1,20,10
6.12,61.2,20,10
6.13,61.3,20,10
6.14,61.4,20,10
6.15,61.5,20,10
6.16,61.6,20,10
6.17,61.7,20,10
6.18,61.8,20,10
6.19,61.9,20,10
6.2,62,20,10
6.21,62.1,20,10
6.22,62.2,20,10
6.23,62.3,20,10
6.24,62.4,20,10
6.25,62.5,20,10
6.26,62.6,20,10
6.27,62.7,20,10
6.28,62.8,20,10
6.29,62.9,20,10
6.3,63,20,10
6.31,63.1,20,10
6.32,63.2,20,10
6.33,63.3,20,10
6.34,63.4,20,10
6.35,63.5,20,10
6.36,63.6,20,10
6.37,63.7,20,10
6.38,63.8,20,10
6.39,63.9,20,10
6.4,64,20,10
6.41,64.1,20,10
6.42,64.2,20,10
6.43,64.3,20,10
6.44,64.4,20,10
6.45,64.5,20,10
6.46,64.6,20,10
6.47,64.7,20,10
6.48,64.8,20,10
6.49,64.9,20,10
6.5,65,20,10
6.51,65.1,20,10
6.52,65.2,20,10
6.53,65.3,20,10
6.54,65.4,20,10
6.55,65.5,20,10
6.56,65.6,20,10
6.57,65.7,20,10
6.58,65.8,20,10
6.59,65.9,20,10
6.6,66,20,10
6.61,66.1,20,10
6.62,66.2,20,10
6.63,66.3,20,10
6.64,66.4,20,10
6.65,66.5,20,10
6.66,66.6,20,10
6.67,66.7,20,10
6.68,66.8,20,10
6.69,66.9,20,10
6.7,67,20,10
6.71,67.1,20,10
6.72,67.2,20,10
6.73,67.3,20,10
6.74,67.4,20,10
6.75,67.5,20,10
6.76,67.6,20,10
6.77,67.7,20,10
6.78,67.8,20,10
6.79,67.9,20,10
6.8,68,20,10
6.81,68.1,20,10
6.82,68.2,20,10
6.83,68.3,20,10
6.84,68.4,20,10
6.85,68.5,20,10
6.86,68.6,20,10
6.87,68.7,20,10
6.88,68.8,20,10
6.89,68.9,20,10
6.9,69,20,10
6.91,69.1,20,10
6.92,69.2,20,10
6.93,69.3,20,10
6.94,69.4,20,10
6.95,69.5,20,10
6.96,69.6,20,10
6.97,69.7,20,10
6.98,69.8,20,10
6.99,69.9,20,10
7,70,20,10
7.01,70.1,20,10
7.02,70.2,20,10
7.03,70.3,20,10
7.04,70.4,20,10
7.05,70.5,20,10
7.06,70.6,20,10
7.07,70.7,20,10
7.08,70.8,20,10
7.09,70.9,20,10
7.1,71,20,10
7.11,71.1,20,10
7.12,71.2,20,10
7.13,71.3,20,10
7.14,71.4,20,10
7.15,71.5,20,10
7.16,71.6,20,10
7.17,71.7,20,10
7.18,71.8,20,10
7.19,71.9,20,10
7.2,72,20,10
7.21,72.1,20,10
7.22,72.2,20,10
7.23,72.3,20,10
7.24,72.4,20,10
7.25,72.5,20,10
7.26,72.6,20,10
7.27,72.7,20,10
7.28,72.8,20,10
7.29,72.9,20,10
7.3,73,20,10
7.31,73.1,20,10
7.32,73.2,20,10
7.33,73.3,20,10
7.34,73.4,20,10
7.35,73.5,20,10
7.36,73.6,20,10
7.37,73.7,20,10
7.38,73.8,20,10
7.39,73.9,20,10
7.4,74,20,10
7.41,74.1,20,10
7.42,74.2,20,10
7.43,74.3,20,10
7.44,74.4,20,10
7.45,74.5,20,10
7.46,74.6,20,10
7.47,74.7,20,10
7.48,74.8,20,10
7.49,74.9,20,10
7.5,75,20,10
7.51,75.1,20,10
7.52,75.2,20,10
7.53,75.3,20,10
7.54,75.4,20,10
7.55,75.5,20,10
7.56,75.6,20,10
7.57,75.7,20,10
7.58,75.8,20,10
7.59,75.9,20,10
7.6,76,20,10
7.61,76.1,20,10
7.62,76.2,20,10
7.63,76.3,20,10
7.64,76.4,20,10
7.65,76.5,20,10
7.66,76.6,20,10
7.67,76.7,20,10
7.68,76.8,20,10
7.69,76.9,20,10
7.7,77,20,10
7.71,77.1,20,10
7.72,77.2,20,10
7.73,77.3,20,10
7.74,77.4,20,10
7.75,77.5,20,10
7.76,77.6,20,10
7.77,77.7,20,10
7.78,77.8,20,10
7.79,77.9,20,10
7.8,78,20,10
7.81,78.1,20,10
7.82,78.2,20,10
7.83,78.3,20,10
7.84,78.4,20,10
7.85,78.5,20,10
7.86,78.6,20,10
7.87,78.7,20,10
7.88,78.8,20,10
7.89,78.9,20,10
7.9,79,20,10
7.91,79.1,20,10
7.92,79.2,20,10
7.93,79.3,20,10
7.94,79.4,20,10
7.95,79.5,20,10
7.96,79.6,20,10
7.97,79.7,20,10
7.98,79.8,20,10
7.99,79.9,20,10
8,80,20,10
8.01,80.1,20,10
8.02,80.2,20,10
8.03,80.3,20,10
8.04,80.4,20,10
8.05,80.5,20,10
8.06,80.6,20,10
8.07,80.7,20,10
8.08,80.8,20,10
8.09,80.9,20,10
8.1,81,20,10
8.11,81.1,20,10
8.12,81.2,20,10
8.13,81.3,20,10
8.14,81.4,20,10
8.15,81.5,20,10
8.16,81.6,20,10
8.17,81.7,20,10
8.18,81.8,20,10
8.19,81.9,20,10
8.2,82,20,10
8.21,82.1,20,10
8.22,82.2,20,10
8.23,82.3,20,10
8.24,82.4,20,10
8.25,82.5,20,10
8.26,82.6,20,10
8.27,82.7,20,10
8.28,82.8,20,10
8.29,82.9,20,10
8.3,83,20,10
8.31,83.1,20,10
8.32,83.2,20,10
8.33,83.3,20,10
8.34,83.4,20,10
8.35,83.5,20,10
8.36,83.6,20,10
8.37,83.7,20,10
8.38,83.8,20,10
8.39,83.9,20,10
8.4,84,20,10
8.41,84.1,20,10
8.42,84.2,20,10
8.43,84.3,20,10
8.44,84.4,20,10
8.45,84.5,20,10
8.46,84.6,20,10
8.47,84.7,20,10
8.48,84.8,20,10
8.49,84.9,20,10
8.5,85,20,10
8.51,85.1,20,10
8.52,85.2,20,10
8.53,85.3,20,10
8.54,85.4,20,10
8.55,85.5,20,10
8.56,85.6,20,10
8.57,85.7,20,10
8.58,85.8,20,10
8.59,85.9,20,10
8.6,86,20,10
8.61,86.1,20,10
8.62,86.2,20,10
8.63,86.3,20,10
8.64,86.4,20,10
8.65,86.5,20,10
8.66,86.6,20,10
8.67,86.7,20,10
8.68,86.8,20,10
8.69,86.9,20,10
8.7,87,20,10
8.71,87.1,20,10
8.72,87.2,20,10
8.73,87.3,20,10
8.74,87.4,20,10
8.75,87.5,20,10
8.76,87.6,20,10
8.77,87.7,20,10
8.78,87.8,20,10
8.79,87.9,20,10
8.8,88,20,10
8.81,88.1,20,10
8.82,88.2,20,10
8.83,88.3,20,10
8.84,88.4,20,10
8.85,88.5,20,10
8.86,88.6,20,10
8.87,88.7,20,10
8.88,88.8,20,10
8.89,88.9,20,10
8.9,89,20,10
8.91,89.1,20,10
8.92,89.2,20,10
8.93,89.3,20,10
8.94,89.4,20,10
8.95,89.5,20,10
8.96,89.6,20,10
8.97,89.7,20,10
8.98,89.8,20,10
8.99,89.9,20,10
9,90,20,10
9.01,90.1,20,10
9.02,90.2,20,10
9.03,90.3,20,10
9.04,90.4,20,10
9.05,90.5,20,10
9.06,90.6,20,10
9.07,90.7,20,10
