Time,X,Y,V_angle,V_speed,Gas_pedal,Fuel_act,Brake_pedal,Brake_act,Steering_wheel,Direction_act,Wheel_angle
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1.000000,0.238972,0.017699,0.145719,0.490673,5.644359,5.633272,0.000000,0.000000,18.324151,18.374269,0.288622
2.000000,0.955421,0.261770,0.472255,1.043749,7.028779,7.012984,0.000000,0.000000,8.823505,8.945096,0.140509
3.000000,2.097898,0.998694,0.607584,1.694234,8.730887,8.713372,0.000000,0.000000,-0.499550,-0.450581,-0.007078
4.000000,3.844863,2.093759,0.500747,2.448333,10.495286,10.477738,0.000000,0.000000,-1.793638,-1.801660,-0.028300
5.000000,6.446087,3.297800,0.381392,3.300889,12.251962,12.235415,0.000000,0.000000,-0.895310,-0.902020,-0.014169
6.000000,9.993360,4.547692,0.305112,4.231482,13.852242,13.837313,0.000000,0.000000,-0.463620,-0.466296,-0.007325
7.000000,14.533777,5.835618,0.252239,5.215395,15.247285,15.234339,0.000000,0.000000,-0.276434,-0.277733,-0.004363
8.000000,20.103551,7.144312,0.212293,6.228457,16.431953,16.421204,0.000000,0.000000,-0.179644,-0.180360,-0.002833
9.000000,26.713289,8.453469,0.180718,7.247202,17.391005,17.382563,0.000000,0.000000,-0.124263,-0.124689,-0.001959
10.000029,34.355784,9.742973,0.154963,8.249176,18.117170,18.111122,0.000000,0.000000,-0.090217,-0.090532,-0.001422
11.000000,43.000760,10.993899,0.133448,9.213691,18.611001,18.607197,0.000000,0.000000,-0.068220,-0.068400,-0.001074
12.000000,52.601360,12.189459,0.115141,10.122571,18.878456,18.876862,0.000000,0.000000,-0.053289,-0.053413,-0.000839
13.000000,63.088950,13.315313,0.099325,10.960010,18.931941,18.932417,0.000000,0.000000,-0.042807,-0.042902,-0.000674
14.000000,74.384853,14.359628,0.085506,11.713199,18.786987,18.789358,0.000000,0.000000,-0.035158,-0.035224,-0.000553
15.000000,86.397899,15.313481,0.073325,12.372174,18.462854,18.466911,0.000000,0.000000,-0.029453,-0.029503,-0.000463
16.000000,99.028478,16.170834,0.062517,12.929880,17.981435,17.986952,0.000000,0.000000,-0.025067,-0.025106,-0.000394
17.000000,112.172434,16.928386,0.052892,13.382237,17.366189,17.372917,0.000000,0.000000,-0.021603,-0.021634,-0.000340
18.000000,125.720236,17.585927,0.044302,13.727466,16.642527,16.650217,0.000000,0.000000,-0.018790,-0.018815,-0.000296
19.000000,139.564775,18.145387,0.036646,13.966785,15.835549,15.843949,0.000000,0.000000,-0.016436,-0.016458,-0.000259
20.000000,153.600561,18.611152,0.029848,14.103553,14.970415,14.979274,0.000000,0.000000,-0.014407,-0.014426,-0.000227
21.000000,167.726666,18.989610,0.023856,14.143172,14.071539,14.080618,0.000000,0.000000,-0.012600,-0.012618,-0.000198
22.000000,181.848711,19.288746,0.018635,14.092882,13.162036,13.171110,0.000000,0.000000,-0.010945,-0.010961,-0.000172
23.000026,195.880573,19.517991,0.014152,13.961097,12.263403,12.272359,0.000000,0.000000,-0.009381,-0.009400,-0.000148
24.000000,209.744077,19.687351,0.010388,13.757663,11.395347,11.403819,0.000000,0.000000,-0.007891,-0.007906,-0.000124
