Time,Head,Head_aim,Head_desired
0.010000,0.000000,1.560797,1.560797
0.020000,0.000000,1.555797,0.000000
0.030000,0.000000,1.550799,0.000000
0.040000,0.000000,1.545802,0.000000
0.050000,0.000000,1.540805,0.000000
0.070000,0.000000,1.530818,0.000000
0.080000,0.000000,1.525827,0.000000
0.090000,0.000000,1.520838,0.000000
0.100000,0.000000,1.515852,0.000000
0.110000,0.000000,1.510868,0.000000
0.120000,0.000000,1.505888,0.000000
0.130000,0.000000,1.500910,0.000000
0.140000,0.000001,1.495937,0.000000
0.150000,0.000002,1.490966,0.000000
0.160000,0.000004,1.486000,0.000000
0.170000,0.000007,1.481039,0.000000
0.180000,0.000011,1.476081,0.000000
0.190000,0.000015,1.471129,0.000000
0.200000,0.000020,1.466181,0.000000
0.210000,0.000026,1.461238,0.000000
0.220000,0.000033,1.456301,0.000000
0.230000,0.000041,1.451370,0.000000
0.240000,0.000049,1.446445,0.000000
0.250000,0.000059,1.441525,0.000000
0.260000,0.000070,1.436612,0.000000
0.270000,0.000082,1.431706,0.000000
0.280000,0.000095,1.426806,0.000000
0.290000,0.000108,1.421913,0.000000
0.300000,0.000123,1.417028,0.000000
0.310000,0.000139,1.412150,0.000000
0.320000,0.000156,1.407280,0.000000
0.330000,0.000174,1.402417,0.000000
0.340000,0.000194,1.397563,0.000000
0.350000,0.000214,1.392717,0.000000
0.360000,0.000235,1.387880,0.000000
0.370000,0.000258,1.383051,0.000000
0.380000,0.000281,1.378231,0.000000
0.390000,0.000306,1.373420,0.000000
0.400000,0.000331,1.368619,0.000000
0.410000,0.000358,1.363827,0.000000
0.420000,0.000386,1.359045,0.000000
0.430000,0.000415,1.354272,0.000000
0.440000,0.000445,1.349510,0.000000
0.450000,0.000477,1.344758,0.000000
0.460000,0.000509,1.340016,0.000000
0.470000,0.000543,1.335285,0.000000
0.480000,0.000577,1.330565,0.000000
0.490000,0.000613,1.325856,0.000000
0.500000,0.000650,1.321158,0.000000
0.510000,0.000688,1.316471,0.000000
0.520000,0.000727,1.311796,0.000000
0.530000,0.000767,1.307132,0.000000
0.540000,0.000809,1.302480,0.000000
0.550000,0.000851,1.297840,0.000000
0.560000,0.000895,1.293212,0.000000
0.570000,0.000940,1.288596,0.000000
0.580000,0.000986,1.283993,0.000000
0.590000,0.001033,1.279402,0.000000
0.600000,0.001082,1.274824,0.000000
0.610000,0.001131,1.270259,0.000000
0.620000,0.001182,1.265707,0.000000
0.630000,0.001234,1.261168,0.000000
0.640000,0.001286,1.256642,0.000000
0.650000,0.001341,1.252129,0.000000
0.660000,0.001396,1.247630,0.000000
0.670000,0.001452,1.243144,0.000000
0.680000,0.001510,1.238672,0.000000
0.690000,0.001569,1.234214,0.000000
0.700000,0.001629,1.229770,0.000000
0.710000,0.001690,1.225340,0.000000
0.720000,0.001753,1.220924,0.000000
0.730000,0.001816,1.216522,0.000000
0.740000,0.001881,1.212135,0.000000
0.750000,0.001947,1.207762,0.000000
0.760000,0.002014,1.203404,0.000000
0.770000,0.002083,1.199060,0.000000
0.780000,0.002152,1.194731,0.000000
0.790000,0.002223,1.190417,0.000000
0.800000,0.002295,1.186118,0.000000
0.810000,0.002368,1.181834,0.000000
0.820000,0.002443,1.177564,0.000000
0.830000,0.002519,1.173310,0.000000
0.840000,0.002596,1.169072,0.000000
0.850000,0.002674,1.164848,0.000000
0.860000,0.002754,1.160640,0.000000
0.870000,0.002834,1.156447,0.000000
0.880000,0.002916,1.152270,0.000000
0.890000,0.003000,1.148108,0.000000
0.900000,0.003084,1.143962,0.000000
0.910000,0.003170,1.139831,0.000000
0.920000,0.003257,1.135716,0.000000
0.930000,0.003346,1.131617,0.000000
0.940000,0.003435,1.127534,0.000000
0.950000,0.003526,1.123467,0.000000
0.960000,0.003619,1.119415,0.000000
0.970000,0.003712,1.115379,0.000000
0.980000,0.003807,1.111360,0.000000
0.990000,0.003904,1.107356,0.000000
1.000000,0.004001,1.103368,0.000000
1.010000,0.004100,1.099397,0.000000
1.020000,0.004201,1.095441,0.000000
1.030000,0.004302,1.091502,0.000000
1.040000,0.004405,1.087578,0.000000
1.050000,0.004509,1.083671,0.000000
1.060000,0.004615,1.079780,0.000000
1.070000,0.004722,1.075906,0.000000
1.080000,0.004831,1.072047,0.000000
1.090000,0.004941,1.068205,0.000000
1.100000,0.005052,1.064379,0.000000
1.110000,0.005164,1.060569,0.000000
1.120000,0.005279,1.056775,0.000000
1.130000,0.005394,1.052998,0.000000
1.140000,0.005511,1.049237,0.000000
1.150000,0.005629,1.045492,0.000000
1.160000,0.005749,1.041763,0.000000
1.170000,0.005870,1.038051,0.000000
1.180000,0.005993,1.034355,0.000000
1.190000,0.006117,1.030675,0.000000
1.200000,0.006243,1.027012,0.000000
1.210000,0.006370,1.023364,0.000000
1.220000,0.006499,1.019733,0.000000
1.230000,0.006629,1.016118,0.000000
1.240000,0.006760,1.012520,0.000000
1.250000,0.006893,1.008937,0.000000
1.260000,0.007028,1.005371,0.000000
1.270000,0.007164,1.001820,0.000000
1.280000,0.007302,0.998286,0.000000
1.290000,0.007441,0.994768,0.000000
1.300000,0.007582,0.991266,0.000000
1.310000,0.007724,0.987780,0.000000
1.320000,0.007868,0.984310,0.000000
1.330000,0.008014,0.980857,0.000000
1.340000,0.008161,0.977419,0.000000
1.350000,0.008310,0.973997,0.000000
1.360000,0.008460,0.970591,0.000000
1.370000,0.008612,0.967200,0.000000
1.380000,0.008766,0.963826,0.000000
1.390000,0.008921,0.960468,0.000000
1.400000,0.009078,0.957125,0.000000
1.410000,0.009237,0.953798,0.000000
1.420000,0.009397,0.950487,0.000000
1.430000,0.009559,0.947191,0.000000
1.440000,0.009723,0.943911,0.000000
1.450000,0.009888,0.940647,0.000000
1.460000,0.010055,0.937398,0.000000
1.470000,0.010224,0.934164,0.000000
1.480000,0.010395,0.930946,0.000000
1.490000,0.010567,0.927744,0.000000
1.500000,0.010741,0.924557,0.000000
1.510000,0.010917,0.921385,0.000000
1.520000,0.011095,0.918228,0.000000
1.530000,0.011274,0.915087,0.000000
1.540000,0.011456,0.911961,0.000000
1.550000,0.011639,0.908850,0.000000
1.560000,0.011824,0.905754,0.000000
1.570000,0.012011,0.902673,0.000000
1.580000,0.012200,0.899608,0.000000
1.590000,0.012390,0.896557,0.000000
1.600000,0.012583,0.893521,0.000000
1.610000,0.012777,0.890499,0.000000
1.620000,0.012973,0.887493,0.000000
1.630000,0.013171,0.884501,0.000000
1.640000,0.013372,0.881524,0.000000
1.650000,0.013574,0.878562,0.000000
1.660000,0.013778,0.875614,0.000000
1.670000,0.013984,0.872680,0.000000
1.680000,0.014192,0.869761,0.000000
1.690000,0.014402,0.866857,0.000000
1.700000,0.014614,0.863967,0.000000
1.710000,0.014828,0.861091,0.000000
1.720000,0.015045,0.858229,0.000000
1.730000,0.015263,0.855381,0.000000
1.740000,0.015483,0.852548,0.000000
1.750000,0.015705,0.849729,0.000000
1.760000,0.015930,0.846923,0.000000
1.770000,0.016157,0.844132,0.000000
1.780000,0.016386,0.841354,0.000000
1.790000,0.016617,0.838590,0.000000
1.800000,0.016850,0.835840,0.000000
1.810000,0.017085,0.833104,0.000000
1.820000,0.017322,0.830381,0.000000
1.830000,0.017562,0.827672,0.000000
1.840000,0.017804,0.824976,0.000000
1.850000,0.018048,0.822294,0.000000
1.860000,0.018295,0.819625,0.000000
1.870000,0.018544,0.816969,0.000000
1.880000,0.018795,0.814327,0.000000
1.890000,0.019048,0.811698,0.000000
1.900000,0.019304,0.809082,0.000000
1.910000,0.019562,0.806479,0.000000
1.920000,0.019822,0.803889,0.000000
1.930000,0.020085,0.801312,0.000000
1.940000,0.020351,0.798748,0.000000
1.950000,0.020618,0.796196,0.000000
1.960000,0.020888,0.793658,0.000000
1.970000,0.021161,0.791132,0.000000
1.980000,0.021436,0.788619,0.000000
1.990000,0.021713,0.786118,0.000000
2.000000,0.021993,0.783630,0.000000
2.010000,0.022276,0.781154,0.000000
2.020000,0.022561,0.778691,0.000000
2.030000,0.022848,0.776240,0.000000
2.040000,0.023138,0.773801,0.000000
2.050000,0.023431,0.771375,0.000000
2.060000,0.023727,0.768960,0.000000
2.070000,0.024025,0.766558,0.000000
2.080000,0.024326,0.764168,0.000000
2.090000,0.024629,0.761789,0.000000
2.100000,0.024935,0.759423,0.000000
2.110000,0.025244,0.757068,0.000000
2.120000,0.025555,0.754725,0.000000
2.130000,0.025870,0.752394,0.000000
2.140000,0.026187,0.750075,0.000000
2.150000,0.026507,0.747767,0.000000
2.160000,0.026829,0.745470,0.000000
2.170000,0.027154,0.743185,0.000000
2.180000,0.027483,0.740912,0.000000
2.190000,0.027814,0.738649,0.000000
2.200000,0.028148,0.736398,0.000000
2.210000,0.028486,0.734158,0.000000
2.220000,0.028826,0.731930,0.000000
2.230000,0.029168,0.729712,0.000000
2.240000,0.029514,0.727506,0.000000
2.250000,0.029862,0.725310,0.000000
2.260000,0.030214,0.723125,0.000000
2.270000,0.030570,0.720952,0.000000
2.280000,0.030928,0.718789,0.000000
2.290000,0.031290,0.716636,0.000000
2.300000,0.031653,0.714495,0.000000
2.310000,0.032020,0.712364,0.000000
2.320000,0.032390,0.710243,0.000000
2.330000,0.032764,0.708133,0.000000
2.340000,0.033141,0.706034,0.000000
2.350000,0.033522,0.703944,0.000000
2.360000,0.033906,0.701866,0.000000
2.370000,0.034291,0.699797,0.000000
2.380000,0.034681,0.697739,0.000000
2.390000,0.035074,0.695690,0.000000
2.400000,0.035470,0.693652,0.000000
2.410000,0.035870,0.691624,0.000000
2.420000,0.036274,0.689606,0.000000
2.430000,0.036682,0.687598,0.000000
2.440000,0.037091,0.685599,0.000000
2.450000,0.037503,0.683611,0.000000
2.460000,0.037920,0.681632,0.000000
2.470000,0.038341,0.679663,0.000000
2.480000,0.038765,0.677704,0.000000
2.490000,0.039193,0.675754,0.000000
2.500000,0.039625,0.673813,0.000000
2.510000,0.040059,0.671882,0.000000
2.520000,0.040496,0.669961,0.000000
2.530000,0.040938,0.668049,0.000000
2.540000,0.041384,0.666146,0.000000
2.550000,0.041833,0.664253,0.000000
2.560000,0.042287,0.662368,0.000000
2.570000,0.042745,0.660493,0.000000
2.580000,0.043204,0.658627,0.000000
2.590000,0.043667,0.656770,0.000000
2.600000,0.044135,0.654922,0.000000
2.610000,0.044607,0.653083,0.000000
2.620000,0.045083,0.651253,0.000000
2.630000,0.045564,0.649431,0.000000
2.640000,0.046049,0.647619,0.000000
2.650000,0.046535,0.645815,0.000000
2.660000,0.047025,0.644020,0.000000
2.670000,0.047520,0.642233,0.000000
2.680000,0.048020,0.640455,0.000000
2.690000,0.048524,0.638686,0.000000
2.700000,0.049032,0.636925,0.000000
2.710000,0.049545,0.635173,0.000000
2.720000,0.050059,0.633428,0.000000
2.730000,0.050578,0.631693,0.000000
2.740000,0.051102,0.629965,0.000000
2.750000,0.051630,0.628246,0.000000
2.760000,0.052163,0.626535,0.000000
2.770000,0.052701,0.624832,0.000000
2.780000,0.053243,0.623137,0.000000
2.790000,0.053787,0.621451,0.000000
2.800000,0.054335,0.619772,0.000000
2.810000,0.054888,0.618101,0.000000
2.820000,0.055446,0.616438,0.000000
2.830000,0.056009,0.614783,0.000000
2.840000,0.056578,0.613136,0.000000
2.850000,0.057151,0.611497,0.000000
2.860000,0.057725,0.609865,0.000000
2.870000,0.058303,0.608241,0.000000
2.880000,0.058888,0.606625,0.000000
2.890000,0.059477,0.605016,0.000000
2.900000,0.060072,0.603414,0.000000
2.910000,0.060672,0.601821,0.000000
2.920000,0.061277,0.600234,0.000000
2.930000,0.061882,0.598655,0.000000
2.940000,0.062493,0.597084,0.000000
2.950000,0.063109,0.595520,0.000000
2.960000,0.063731,0.593963,0.000000
2.970000,0.064359,0.592413,0.000000
2.980000,0.064992,0.590871,0.000000
2.990000,0.065630,0.589335,0.000000
3.000000,0.066268,0.587807,0.000000
3.010000,0.066911,0.586286,0.000000
3.020000,0.067561,0.584772,0.000000
3.030000,0.068216,0.583265,0.000000
3.040000,0.068878,0.581765,0.000000
3.050000,0.069545,0.580271,0.000000
3.060000,0.070218,0.578785,0.000000
3.070000,0.070889,0.577305,0.000000
3.080000,0.071567,0.575833,0.000000
3.090000,0.072251,0.574366,0.000000
3.100000,0.072941,0.572907,0.000000
3.110000,0.073637,0.571454,0.000000
3.120000,0.074340,0.570008,0.000000
3.130000,0.075048,0.568569,0.000000
3.140000,0.075754,0.567136,0.000000
3.150000,0.076467,0.565710,0.000000
3.160000,0.077186,0.564290,0.000000
3.170000,0.077912,0.562876,0.000000
3.180000,0.078644,0.561469,0.000000
3.190000,0.079383,0.560068,0.000000
3.200000,0.080128,0.558674,0.000000
3.210000,0.080870,0.557286,0.000000
3.220000,0.081619,0.555904,0.000000
3.230000,0.082374,0.554528,0.000000
3.240000,0.083137,0.553158,0.000000
3.250000,0.083906,0.551795,0.000000
3.260000,0.084682,0.550438,0.000000
3.270000,0.085465,0.549087,0.000000
3.280000,0.086243,0.547741,0.000000
3.290000,0.087028,0.546402,0.000000
3.300000,0.087821,0.545069,0.000000
3.310000,0.088621,0.543742,0.000000
3.320000,0.089428,0.542420,0.000000
3.330000,0.090242,0.541105,0.000000
3.340000,0.091063,0.539795,0.000000
3.350000,0.091879,0.538491,0.000000
3.360000,0.092702,0.537193,0.000000
3.370000,0.093532,0.535900,0.000000
3.380000,0.094370,0.534614,0.000000
