Time,X,Y,V_angle,V_speed,Gas_pedal,Fuel_act,Brake_pedal,Brake_act,Steering_wheel,Direction_act,Wheel_angle
0.010000,0.000000,0.000000,0.000000,0.000000,0.020001,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000
1.010000,0.005579,0.000012,0.004201,0.013341,0.203014,0.191612,0.000000,0.000000,23.915956,23.932137,0.375925
2.010000,0.030246,0.000345,0.022561,0.038738,0.431603,0.389960,0.000000,0.000000,23.354115,23.385353,0.367336
3.010000,0.093892,0.003251,0.067561,0.096360,1.031953,0.971172,0.000000,0.000000,21.288187,21.455191,0.337017
4.010000,0.248250,0.021255,0.159315,0.231657,2.354587,2.195116,0.000000,0.000000,15.678748,16.231056,0.254957
5.010000,0.599873,0.103868,0.282861,0.522316,4.796937,4.463735,0.000000,0.000000,5.961148,6.872080,0.107946
6.010000,1.334160,0.347652,0.330827,1.072038,8.606259,8.338056,0.000000,0.000000,-0.611157,-0.508376,-0.007986
7.010000,2.762907,0.804154,0.287700,1.988170,13.780099,13.319727,0.000000,0.000000,-0.744259,-0.784899,-0.012329
8.010000,5.310697,1.492787,0.246668,3.358641,20.125800,19.446154,0.000000,0.000000,-0.311672,-0.331850,-0.005213
9.010000,9.463637,2.463492,0.216317,5.240677,27.361796,26.456779,0.000000,0.000000,-0.158017,-0.161136,-0.002531
10.010000,15.749246,3.755654,0.191709,7.658682,35.166305,34.608860,0.000000,0.000000,-0.091093,-0.093360,-0.001466
11.010000,24.703426,5.387674,0.170681,10.600321,43.167291,42.450554,0.000000,0.000000,-0.057725,-0.059428,-0.000933
12.010000,36.833974,7.353337,0.151967,14.016093,50.876961,50.063416,0.000000,0.000000,-0.039715,-0.041012,-0.000644
13.010000,52.556340,9.614153,0.134685,17.351936,0.000000,0.000000,0.251498,0.048237,-0.031217,-0.030744,-0.000483
14.010000,69.007228,11.701571,0.117768,15.969877,6.893787,6.357347,0.000000,0.000000,-0.032971,-0.032967,-0.000518
15.010000,84.517146,13.408899,0.101737,15.354052,12.724213,12.224161,0.000000,0.000000,-0.032046,-0.032181,-0.000506
16.010000,99.728602,14.844581,0.086792,15.271666,16.406313,16.107164,0.000000,0.000000,-0.029838,-0.029917,-0.000470
17.010000,115.025992,16.066432,0.072963,15.431976,17.040023,17.112278,0.000000,0.000000,-0.027256,-0.027380,-0.000430
18.010000,130.476937,17.094396,0.060217,15.491769,14.063796,14.468182,0.000000,0.000000,-0.024989,-0.025129,-0.000395
19.010000,145.812898,17.927215,0.048541,15.144753,8.626078,9.251640,0.000000,0.000000,-0.023292,-0.023430,-0.000368
20.010000,160.559850,18.564347,0.038028,14.316933,3.922011,4.132763,0.000000,0.000000,-0.021867,-0.021927,-0.000344
21.010000,174.326605,19.023591,0.028881,13.222040,1.740522,1.840326,0.000000,0.000000,-0.020093,-0.020216,-0.000318
22.010000,186.972258,19.339450,0.021298,12.094681,1.038788,1.079217,0.000000,0.000000,-0.017667,-0.017885,-0.000281
23.010000,198.520884,19.549660,0.015337,11.030483,0.795602,0.813685,0.000000,0.000000,-0.014769,-0.014862,-0.000233
24.010000,209.048900,19.686602,0.010886,10.051992,0.717047,0.719031,0.000000,0.000000,-0.011782,-0.011927,-0.000187
25.010000,218.644208,19.774978,0.007704,9.163349,0.736352,0.731091,0.000000,0.000000,-0.009054,-0.009231,-0.000145
26.010000,227.396538,19.832195,0.005497,8.364646,0.843589,0.827140,0.000000,0.000000,-0.006794,-0.006981,-0.000110
27.010000,235.395757,19.869785,0.003990,7.656235,1.056707,1.040286,0.000000,0.000000,-0.005058,-0.005118,-0.000080
28.010000,242.733306,19.895069,0.002962,7.041123,1.417953,1.382162,0.000000,0.000000,-0.003768,-0.003834,-0.000060
29.010000,249.505886,19.912592,0.002254,6.527063,1.996030,1.925932,0.000000,0.000000,-0.002825,-0.002891,-0.000045
30.010000,255.821310,19.925165,0.001756,6.128709,2.886623,2.759544,0.000000,0.000000,-0.001931,-0.002154,-0.000034
31.010000,261.806264,19.948739,0.009338,5.869467,4.202976,4.094707,0.000000,0.000000,0.098842,0.094025,0.001477
32.010000,267.613802,20.069073,0.034333,5.780721,6.043191,5.854362,0.000000,0.000000,0.178684,0.174145,0.002735
33.010000,273.426976,20.373410,0.071448,5.898549,8.458084,8.164201,0.000000,0.000000,0.227951,0.224543,0.003527
34.010000,279.458300,20.942919,0.117149,6.258002,11.429282,11.236753,0.000000,0.000000,0.250827,0.250333,0.003932
35.010000,285.942141,21.879383,0.169333,6.885657,14.854985,14.568130,0.000000,0.000000,0.253851,0.254092,0.003991
36.010000,293.117473,23.323249,0.226894,7.791980,18.542715,18.169672,0.000000,0.000000,0.244494,0.245536,0.003857
